id,bpm
2022-11-13 0:58,197
2022-11-13 0:58,204
2022-11-13 0:58,210
2022-11-13 0:58,192
2022-11-13 0:58,191
2022-11-13 0:58,198
2022-11-13 0:58,184
2022-11-13 0:58,182
2022-11-13 0:58,183
2022-11-13 0:58,183
2022-11-13 0:58,178
2022-11-13 0:58,177
2022-11-13 0:58,178
2022-11-13 0:58,196
2022-11-13 0:58,204
2022-11-13 0:58,204
2022-11-13 0:58,219
2022-11-13 0:58,222
2022-11-13 0:58,218
2022-11-13 0:58,218
2022-11-13 0:58,227
2022-11-13 0:58,223
2022-11-13 0:58,223
2022-11-13 0:58,221
2022-11-13 0:58,221
2022-11-13 0:58,177
2022-11-13 0:58,163
2022-11-13 0:58,160
2022-11-13 0:58,107
2022-11-13 0:58,86
2022-11-13 0:58,75
2022-11-13 0:58,65
2022-11-13 0:58,59
2022-11-13 0:58,57
2022-11-13 0:58,56
2022-11-13 0:58,59
2022-11-13 0:58,167
2022-11-13 0:58,161
2022-11-13 0:58,164
2022-11-13 0:58,137
2022-11-13 0:58,127
2022-11-13 0:58,126
2022-11-13 0:58,126
2022-11-13 0:58,129
2022-11-13 0:58,129
2022-11-13 0:58,133
2022-11-13 0:58,136
2022-11-13 0:58,143
2022-11-13 0:58,145
2022-11-13 0:58,180
2022-11-13 0:59,208
2022-11-13 0:59,220
2022-11-13 0:59,218
2022-11-13 0:59,218
2022-11-13 0:59,224
2022-11-13 0:59,224
2022-11-13 0:59,224
2022-11-13 0:59,224
2022-11-13 0:59,224
2022-11-13 0:59,224
2022-11-13 0:59,207
2022-11-13 0:59,206
2022-11-13 0:59,215
2022-11-13 0:59,215
2022-11-13 0:59,198
2022-11-13 0:59,202
2022-11-13 0:59,205
2022-11-13 0:59,209
2022-11-13 0:59,211
2022-11-13 0:59,215
2022-11-13 0:59,216
2022-11-13 0:59,220
2022-11-13 0:59,224
2022-11-13 0:59,228
2022-11-13 0:59,232
2022-11-13 0:59,231
2022-11-13 0:59,229
2022-11-13 0:59,229
2022-11-13 0:59,226
2022-11-13 0:59,225
2022-11-13 0:59,221
2022-11-13 0:59,221
2022-11-13 0:59,221
2022-11-13 0:59,220
2022-11-13 0:59,219
2022-11-13 0:59,218
2022-11-13 0:59,210
2022-11-13 0:59,210
2022-11-13 0:59,200
2022-11-13 0:59,199
2022-11-13 0:59,141
2022-11-13 0:59,121
2022-11-13 0:59,107
2022-11-13 0:59,102
2022-11-13 0:59,92
2022-11-13 0:59,87
2022-11-13 0:59,115
2022-11-13 0:59,120
2022-11-13 0:59,127
2022-11-13 0:59,89
2022-11-13 0:59,78
